line_number,fluid_type,temperature_C,nps,pipe_sch
"KMTMALBA001-12""-AC-H",Two Phase,227.6836808,12,40
"KMTMALBA002-20""-AC-H",Two Phase,227.6836808,20,40
"KMTMALBA003-12""-AC-H",Two Phase,217.7237811,12,40
"KMTMALBC001-18""-AC-H",Hot Brine,201.3301778,18,20
"KMTMALBC003-8""-AC-H",Hot Brine,201.3301778,8,20
"KMTMALBG001-4""-AC-H",Two Phase,227.6836808,4,40
"KMTMALBG002-4""-AC-H",Two Phase,217.7237811,4,20
"KMTMALBG003-4""-AC-H",Hot Brine,201.3301778,4,20
"KMTMALBG004-4""-AC-H",Hot Brine,207.2182738,4,40
"KMTMALBG005-4""-AC-H",Hot Brine,201.3301778,4,40
"KMTMALBH001-4""-AC-H",Two Phase,227.6836808,4,20
"KMTMALBH002-4""-AC-H",Two Phase,217.7237811,4,40
"KMTMALBH003-4""-AC-H",Hot Brine,188.9946289,4,40
"KMTMALBH101-4""-AC-H",Two Phase,227.6836808,4,40
"KMTMALBH102-2""-AC-H",Two Phase,197.4930989,2,40
"KMTMALBH103-4""-AC-H",Two Phase,197.4930989,4,20
"KMTMALBH104-4""-AC-H",Two Phase,217.7237811,4,40
"KMTMALBH105-2""-AC-H",Two Phase,199.3485692,2,40
"KMTMALBH106-4""-AC-H",Two Phase,199.3485692,4,40
"KMTMALBH107-4""-AC-H",Two Phase,227.6836808,4,20
"KMTMALBH108-2""-AC-H",Two Phase,217.7237811,2,20
"KMTMALBH109-2""-AC-H",Two Phase,217.7237811,2,40
"KMTMALBH110-4""-AC-H",Hot Brine,201.3301778,4,40
"KMTMALBH201-18""-AC-H",Two Phase,227.6836808,18,40
"KMTMALBH202-20""-AC-H",Two Phase,217.7237811,20,40
"KMTMALBH203-2""-AC-H",Two Phase,200.6036789,2,40
"KMTMALBU001-16""-AC-H",Hot Brine,201.3301778,16,40
"KMTMALCB001-8""-AB-H",Hot Brine,207.2182738,8,20
"KMTMALCB002-8""-AB-H",Hot Brine,207.2182738,8,20
"KMTMALCB003-6""-AB-H",Hot Brine,207.2182738,6,40
"KMTMALCB004-8""-AB-H",Hot Brine,207.2182738,8,20
"KMTMALCB005-8""-AB-H",Hot Brine,207.2182738,8,20
"KMTMALCB006-6""-AB-H",Hot Brine,207.2182738,6,40
"KMTMALCB007-8""-AB-H",Hot Brine,207.2182738,8,20
"KMTMALCB008-6""-AB-H",Hot Brine,207.2182738,6,40
"KMTMALCB009-6""-AB-H",Hot Brine,207.2182738,6,20
"KMTMCLBA001-12""-AC-H",Two Phase,212.7375193,12,40
"KMTMCLBC001-16""-AC-H",Two Phase,215.9659372,16,20
"KMTMCLBG003-4""-AC-H",Hot Brine,216.5380688,4,40
"KMTMCLBG004-4""-AC-H",Hot Brine,216.5380688,4,40
"KMTMCLBH001-4""-AC-H",Two Phase,203.5992723,4,40
"KMTMCLBH001-4""-AC-H",Two Phase,200.6036789,4,40
"KMTMCLBH101-4""-AC-H",Two Phase,212.7375193,4,40
"KMTMCLBH102-2""-AC-H",Two Phase,212.7375193,2,80
"KMTMCLBH103-2""-AC-H",Two Phase,215.9659372,2,80
"KMTMCLBH104-4""-AC-H",Two Phase,215.9659372,4,40
"KMTMCLBH107-2""-AC-H",Two Phase,220.5771564,2,20
"KMTMCLBH108-4""-AC-H",Two Phase,207.584292,4,40
"KMTMCLBH109-4""-AC-H",Two Phase,215.9659372,4,40
"KMTMCLBH201-20""-AC-H",Two Phase,197.8827633,20,40
"KMTMCLBH202-20""-AC-H",Two Phase,219.2226072,20,40
"KMTMCLBH203-2""-AC-H",Two Phase,200.6036789,2,40
"KMTMCLCB001-8""-AB-H",Hot Brine,192.5251122,8,20
"KMTMCLCB002-8""-AB-H",Hot Brine,192.5251122,8,20
"KMTMCLCB003-8""-AB-H",Hot Brine,192.5251122,8,20
"KMTMCLCB004-8""-AB-H",Hot Brine,192.5251122,8,20
"KMTMCLCB005-8""-AB-H",Hot Brine,192.5251122,8,20
"KMTMCLCB006-8""-AB-H",Hot Brine,192.5251122,8,20
